sqft_living,bedrooms,age_years,neighborhood,garage,price
2554,2,5,south,yes,359262.28
924,6,25,east,no,217215.5
3711,5,35,south,yes,514009.63
3742,2,59,north,no,474895.33
2618,3,34,east,no,372972.3
1805,3,18,east,yes,332662.33
1091,5,19,south,no,180283.07
2885,1,45,east,yes,409301.8
2604,3,32,east,yes,399916.95
3371,3,67,north,no,441983.87
2828,3,32,north,yes,365520.13
1192,4,42,east,yes,258652.38
1170,1,4,east,yes,219994.17
3443,3,14,north,no,493553.34
1298,1,63,south,yes,167997.03
3987,4,25,south,no,526386.82
1115,3,31,north,no,222498.15
3262,4,44,east,no,466843.91
4114,2,4,north,yes,583071.3
2272,4,37,south,yes,333358.81
945,5,25,north,yes,210987.54
3774,1,11,east,yes,537071.25
1396,2,31,south,yes,229269.33
2569,2,33,south,yes,339042.43
4146,2,13,north,yes,542155.13
3319,2,40,south,yes,424747.63
909,6,55,north,no,180656.79
3580,4,20,north,no,489865.26
1306,3,72,east,yes,244052.95
3335,2,45,east,yes,499015.17
2892,2,57,south,yes,359450.91
1743,2,5,south,no,241262.92
2211,4,57,north,yes,301205.69
1156,2,25,south,no,211354.71
4154,5,53,north,no,559096.05
1572,1,60,east,no,245132.44
1814,1,18,north,no,234768.25
2484,1,19,south,yes,339410.94
3069,5,4,north,no,460228.46
2493,3,45,north,yes,352824.36
2492,1,58,east,yes,379458.7
2760,1,30,south,yes,407892.96
3709,2,12,south,yes,479774.87
2113,4,23,south,no,288776.43
3620,1,30,south,yes,451960.39
3464,1,68,south,yes,458503.58
4065,5,9,east,yes,626752.4
3900,1,25,north,yes,512960.5
3503,1,47,south,no,431772.07
1601,2,17,east,yes,270780.21
3421,4,66,east,no,495178.49
3291,2,68,north,no,409539.77
1748,6,28,south,no,275222.62
3089,2,55,north,yes,424260.22
1622,1,56,south,yes,215092.09
2554,1,51,north,yes,338822.61
3498,4,13,north,yes,501994.35
1400,2,3,south,no,229356.4
1912,3,26,north,yes,328332.88
3493,5,9,north,yes,523032.75
2315,6,21,east,yes,418909.66
4064,2,47,south,no,502914.63
777,2,44,north,yes,133465.64
3240,2,15,north,no,449691.75
3558,2,1,south,no,473806.33
3916,3,16,south,yes,502760.68
1290,3,34,east,no,229234.75
4145,4,58,north,no,539257.85
2103,2,27,north,yes,302325.76
1964,2,21,north,yes,324903.24
1976,2,41,north,yes,297885.1
2951,5,5,south,no,449335.15
3024,1,16,north,yes,421453.65
2385,4,2,east,yes,405654.98
995,4,39,south,yes,164071.24
4153,3,33,east,yes,587708.73
1516,1,43,north,yes,224962.97
1073,4,46,south,yes,161885.95
2810,3,29,south,no,367388.51
2172,1,65,south,no,258876.91
2873,2,68,north,yes,388496.63
3770,2,8,north,yes,526404.3
1085,2,69,south,no,133086.27
1729,2,14,east,yes,310581.65
2532,3,18,north,yes,372738.58
3467,3,39,east,yes,451772.84
2822,2,2,east,yes,428631.36
2070,1,27,south,yes,305841.8
2854,3,14,north,yes,385819.5
4130,6,36,south,no,558848.44
2406,1,61,north,yes,348922.7
3798,5,69,east,no,517592.97
3440,2,15,east,yes,503558.68
1789,3,40,north,yes,253429.71
1610,1,35,north,yes,269270.16
3407,1,31,east,yes,480606.01
1465,2,47,south,yes,214669.28
1912,5,74,east,yes,344513.41
1562,1,30,south,yes,236822.61
2841,5,4,south,yes,410396.68
1764,4,68,east,no,270941.0
3021,1,69,south,yes,385706.76
3975,1,24,north,yes,513535.82
3612,2,37,north,no,432265.62
4020,1,64,south,no,482321.67
834,2,37,south,yes,117928.17
2321,1,36,north,yes,352451.07
1509,3,69,east,yes,259964.18
3916,3,62,east,no,514154.85
3206,4,38,south,no,415772.62
1854,3,12,east,no,279122.84
2694,5,32,east,yes,414461.69
2838,1,50,east,yes,423377.82
2459,3,20,east,no,420534.15
2386,2,40,east,yes,379223.14
940,1,49,south,no,125983.23
2310,3,6,east,no,362284.73
1951,5,42,north,no,282161.08
3572,3,55,north,no,502571.79
3734,1,16,south,yes,485094.52
3338,1,41,south,yes,466845.34
856,3,53,north,no,171131.35
3652,2,3,north,yes,475441.66
2117,1,48,east,yes,309058.86
2186,1,19,north,yes,304225.19
4010,2,29,south,yes,522062.77
3742,1,48,north,no,469710.34
925,3,0,north,yes,249682.3
1991,1,1,south,no,257227.9
3336,2,33,north,yes,458009.46
2609,2,71,north,yes,359439.14
1638,2,0,north,yes,270655.7
2560,3,59,north,no,345983.25
3739,2,5,north,yes,497195.44
1520,4,36,north,yes,258356.75
3323,3,32,north,yes,471279.18
3284,3,35,north,yes,461808.81
3805,2,6,east,yes,561533.62
1777,2,56,south,yes,271392.94
1494,2,20,east,no,274157.4
2639,3,57,north,yes,369645.3
2582,2,49,east,yes,363504.35
2162,4,41,south,yes,306795.91
3438,1,23,south,no,431970.64
3506,1,48,north,no,447490.22
1597,3,74,north,yes,227956.01
3494,2,69,north,yes,436968.8
1546,4,68,north,yes,221480.42
2156,2,16,east,yes,321766.8
843,1,43,east,yes,169084.89
1924,1,29,north,yes,253698.02
4056,4,72,east,yes,546958.54
2276,2,71,east,yes,329957.77
3199,2,65,north,yes,397035.49
1122,1,12,south,no,175191.54
2942,1,23,north,yes,416720.02
2031,6,53,south,no,290408.31
3316,1,56,north,no,408501.51
3951,1,26,south,yes,518571.74
2584,1,10,south,yes,343060.09
1104,1,10,south,no,153182.79
2392,4,51,south,yes,361072.97
1174,3,34,south,yes,211367.38
2300,2,36,east,no,354907.9
960,3,61,south,no,158821.6
2959,2,1,north,no,376450.98
1821,1,56,east,yes,306327.04
1445,5,20,east,yes,300167.12
809,2,69,south,no,129176.06
3813,1,71,east,yes,516182.91
3638,3,37,east,no,511524.65
3550,1,23,east,yes,498184.43
950,3,17,north,yes,196468.6
1955,1,13,north,no,272518.54
4101,1,74,east,no,543259.77
2746,3,14,east,yes,402791.78
1193,2,33,north,yes,191265.63
1236,6,35,east,yes,306654.82
1657,3,50,east,yes,272856.55
4104,5,63,north,no,538215.69
1335,1,41,east,no,202523.54
3864,2,56,south,yes,498277.22
3089,3,42,north,no,402009.23
3930,2,32,south,yes,509159.0
3599,1,11,south,yes,490441.6
1895,6,15,east,no,331432.26
3606,1,32,north,yes,491263.0
1333,1,3,east,no,252734.13
1753,3,23,south,yes,288483.21
1480,6,34,east,yes,301689.74
1209,1,35,south,yes,239004.66
1060,1,61,east,yes,208541.61
1396,2,72,east,yes,238535.8
1164,4,54,north,yes,189305.36
2062,3,5,south,yes,313568.94
996,2,30,north,yes,205001.89
961,4,54,south,no,185889.62
4164,2,44,south,yes,560481.92
1052,1,34,north,yes,188789.46
1005,2,32,east,no,170748.12
853,2,30,north,yes,171222.91
1207,4,43,south,yes,181520.76
2571,1,13,north,no,324043.52
3604,3,38,south,yes,484416.86
3285,2,15,north,no,452647.59
2751,2,51,south,yes,379758.79
1043,5,64,south,yes,191742.45
3421,1,38,east,yes,489686.55
878,2,29,south,yes,136200.25
2926,1,70,south,no,349178.42
2162,1,49,south,yes,258707.9
3793,1,32,north,yes,463073.36
1810,4,2,east,yes,349671.57
2952,3,1,north,yes,420859.76
2267,1,16,east,no,357090.97
2551,6,17,north,yes,426328.26
3988,2,54,east,no,522756.29
3208,3,37,east,no,470529.6
2180,1,74,east,yes,303059.18
2293,1,40,east,no,298748.18
3180,2,67,south,no,394019.57
1943,1,41,south,no,241678.27
1329,1,26,east,yes,231580.4
2363,4,53,east,yes,410630.18
985,1,33,south,no,113804.57
1335,6,20,north,yes,268221.68
2201,1,35,north,yes,291811.47
3498,1,49,north,no,457832.71
3445,4,28,east,no,507121.76
1649,2,52,east,yes,279770.2
2205,2,73,south,yes,270621.99
1279,3,30,south,yes,196141.42
3355,3,22,north,yes,487740.51
1599,2,30,south,no,256356.36
3508,1,62,south,yes,446549.54
3655,1,13,north,yes,476576.43
3127,3,73,east,no,437726.89
1889,4,31,north,yes,346276.5
4037,4,63,north,yes,541249.61
3116,3,59,north,yes,449921.14
2978,1,58,south,yes,364118.07
3704,1,68,east,no,483154.45
3791,2,13,east,no,543130.17
1018,1,44,south,no,146595.91
3791,1,7,east,yes,526103.0
3389,2,22,south,no,425290.69
1462,3,3,south,no,249345.12
1811,6,51,east,no,336825.91
3346,2,45,east,no,490046.58
1497,1,55,south,yes,236716.75
2310,1,13,south,yes,324443.15
3126,2,24,south,yes,416186.41
2994,1,50,north,no,405809.84
3888,3,61,south,yes,514499.25
1134,4,66,east,yes,205607.81
1767,1,5,north,yes,255500.56
4147,2,30,east,yes,588000.74
2712,2,0,south,yes,382225.06
1608,1,61,north,yes,225748.26
1749,1,9,east,no,303207.6
1920,1,61,south,no,250702.67
2662,4,11,north,yes,428133.72
1731,1,1,east,no,251170.35
2895,1,65,east,yes,408571.16
2286,1,32,north,yes,333812.39
2855,1,31,south,yes,349491.45
1285,5,48,south,yes,207881.88
2901,3,20,north,yes,403389.27
3940,1,51,south,no,480990.57
1216,1,32,south,no,198349.37
1879,3,20,north,yes,334328.61
3142,3,29,south,yes,415618.82
2880,1,0,north,no,403518.03
3077,5,22,south,yes,454704.36
2680,1,44,east,yes,396537.26
3104,2,10,east,yes,473653.63
2852,4,8,north,yes,433643.37
1005,3,49,south,yes,198086.26
3341,3,32,north,no,470042.4
2291,2,10,north,yes,323455.23
927,2,56,north,no,157988.98
2161,1,58,south,yes,297100.72
2251,6,2,north,yes,384447.41
1049,2,15,south,no,187747.64
4186,3,27,east,no,583893.33
1517,2,54,north,no,217934.42
1890,2,5,north,yes,300002.33
2271,1,60,north,yes,268649.61
3622,1,23,east,no,496188.83
3313,6,9,south,yes,476425.49
3409,1,64,north,yes,415825.94
1567,1,6,south,yes,263798.33
3666,1,9,north,yes,505183.74
3612,1,71,south,no,430959.04
2350,2,38,south,no,298773.54
2633,4,34,south,yes,382145.05
878,1,51,south,no,137129.85
3373,1,47,south,yes,414888.61
4065,6,46,north,no,555863.09
2380,1,1,north,no,350145.2
2614,2,41,north,no,315683.98
2472,1,20,east,yes,376459.74
1035,2,60,south,no,134602.76
2888,1,37,east,no,401335.06
3238,3,9,south,yes,442974.69
3951,4,66,north,no,516175.24
3957,1,21,south,no,532831.29
2446,1,20,north,no,326597.4
4058,4,70,north,no,529494.8
2573,3,58,south,no,369959.44
2965,4,64,south,yes,390489.72
2826,3,49,east,no,441252.16
4195,3,68,north,yes,546345.81
3294,6,8,east,yes,558806.13
1164,4,44,north,no,209775.62
997,2,22,south,no,163133.95
2164,2,29,south,no,290490.65
2529,5,17,north,yes,383349.25
3056,1,15,north,no,408372.25
2411,5,33,north,yes,388490.51
2525,6,68,south,yes,364553.99
3929,2,47,east,yes,538882.79
1905,2,26,south,yes,272155.91
2452,2,32,east,yes,395960.58
2672,1,39,east,no,399268.91
2365,2,18,north,yes,335101.29
4090,1,39,south,no,492505.42
4069,1,52,north,yes,528130.46
2520,3,18,east,yes,430095.58
2304,1,43,south,yes,326339.83
2781,4,53,east,no,387864.66
1374,3,38,south,yes,212218.63
2219,4,21,north,yes,329971.14
1498,4,41,east,yes,274428.77
1246,4,59,east,yes,269027.38
1078,5,16,east,yes,226277.19
2775,2,43,north,yes,353350.42
751,2,51,north,yes,124584.03
2979,3,24,north,no,416813.59
2240,6,29,north,no,360613.59
2014,3,66,east,no,311806.07
3403,2,27,east,no,500076.34
2608,1,44,east,yes,349328.46
3280,6,11,east,yes,544910.06
3197,3,69,east,no,436348.28
860,1,44,north,yes,159966.9
1493,1,57,east,yes,218912.34
2716,4,45,north,yes,392977.22
4115,2,26,north,yes,553702.87
1282,3,25,east,yes,273679.52
1114,5,52,east,yes,208877.42
3996,2,64,north,no,502201.55
4085,4,9,east,yes,581615.76
1327,3,63,east,yes,247524.93
2135,1,62,south,yes,289879.9
2911,2,8,east,yes,467907.06
1423,3,8,east,yes,268723.47
1875,2,52,north,no,274300.08
2113,1,63,south,no,283270.23
2963,1,29,east,no,387175.55
1812,1,48,east,no,282078.21
2172,1,74,east,no,317269.2
1749,4,24,east,yes,313044.93
3370,1,16,east,yes,463746.08
1277,1,74,south,no,171379.2
1545,3,21,south,yes,224398.84
1612,3,35,south,yes,243405.67
3874,2,33,east,no,530649.77
4008,2,39,east,yes,570943.68
2475,1,20,south,yes,326570.63
1289,1,50,north,yes,181979.49
3358,3,51,south,yes,446104.48
2447,1,15,east,no,381261.03
3681,3,36,north,yes,543412.1
1991,1,4,north,yes,273923.34
4195,1,16,south,yes,548566.16
3534,3,74,north,yes,445574.37
1522,1,37,north,no,232894.6
3253,1,46,north,no,397240.2
1739,6,66,north,yes,272938.33
1956,6,53,north,yes,306841.12
1613,5,59,south,no,237282.42
3103,6,53,north,yes,458611.56
1656,4,37,south,yes,268674.63
2953,1,47,south,yes,380110.18
2759,2,21,east,yes,396103.96
3340,3,66,north,no,445500.15
4177,1,13,east,yes,581372.74
780,3,66,north,no,151231.23
4166,1,65,east,yes,541248.7
1127,2,10,south,no,150345.05
2567,2,53,south,yes,340133.53
1926,1,74,south,no,254315.15
2954,3,42,north,no,402228.96
3239,6,25,south,yes,467807.94
3716,1,65,south,yes,445221.75
2136,2,38,east,yes,369327.8
3968,4,9,east,yes,568811.15
1862,2,18,north,yes,274698.9
1453,2,51,north,yes,232594.62
2058,1,34,east,no,273955.63
2573,1,16,north,yes,386436.63
3055,4,59,north,yes,436845.48
3623,1,9,south,no,481220.16
1525,1,16,south,no,223876.11
1796,1,34,east,yes,287547.78
3988,2,2,south,yes,515807.32
2267,3,29,south,yes,324504.64
1583,1,68,north,yes,202079.75
4150,2,70,east,yes,567450.8
2298,4,65,east,yes,375686.04
4148,1,24,north,no,557766.56
3921,3,4,south,yes,541889.82
3876,4,61,east,no,552090.36
2757,2,27,east,yes,411337.39
3504,1,56,north,yes,443943.01
4063,4,8,north,no,565600.09
1678,5,50,south,no,244047.49
880,2,43,north,yes,163725.34
1856,2,69,north,no,227426.54
2947,2,7,north,yes,405636.7
2638,1,30,east,yes,403321.37
1028,1,74,east,yes,194984.42
2684,3,29,east,no,384490.19
1351,2,49,north,yes,223409.06
2493,2,12,north,no,341744.76
2736,1,54,south,yes,351265.09
2946,2,20,east,no,454133.0
2173,1,42,east,yes,345308.77
2158,5,65,south,yes,328169.7
3091,1,49,south,no,415816.23
3334,4,35,north,no,444342.17
3536,5,14,east,no,511222.25
1900,1,25,east,no,280401.8
2213,1,63,north,no,277992.98
1890,4,16,south,yes,256118.09
2570,5,49,east,yes,407046.29
1188,3,36,south,yes,186261.73
2233,3,24,south,yes,339721.68
1401,2,53,east,no,235501.55
2586,3,27,south,yes,354895.46
3684,3,21,east,yes,549011.3
4149,2,39,south,yes,547720.74
2289,2,56,east,yes,332548.18
944,2,64,east,yes,174637.56
1536,1,47,east,no,198951.46
1111,1,49,north,yes,154186.12
3369,3,59,east,yes,468097.55
4147,1,20,south,yes,536480.99
2661,4,18,east,no,397421.11
1360,1,36,north,yes,200717.86
822,3,47,north,no,123100.05
4117,2,48,north,yes,541326.05
1841,2,11,north,no,282580.86
1136,1,58,south,yes,167330.58
1360,1,27,east,yes,242862.5
1630,1,65,north,no,185000.69
3012,2,54,east,no,407576.83
3826,1,73,north,yes,474376.48
1698,1,47,north,no,222864.68
3120,1,39,south,yes,405429.66
974,1,14,east,yes,229511.74
784,2,29,south,yes,157449.73
939,1,64,east,yes,155946.68
3934,5,28,east,yes,594863.25
2756,1,4,south,no,376853.44
3527,1,18,south,yes,448516.79
824,1,44,south,no,131831.59
826,1,47,south,no,112341.22
3678,1,73,south,no,412864.84
1104,3,70,south,yes,176665.65
1286,2,39,north,no,198773.31
2540,1,41,south,yes,330501.8
2842,2,60,east,yes,408881.84
1539,1,3,east,yes,263298.46
2284,2,44,east,yes,363014.35
3078,1,35,south,yes,400421.89
2277,2,58,south,yes,306922.08
2070,6,60,north,no,319688.55
997,4,49,south,yes,155183.46
2308,1,49,south,yes,286966.91
3519,3,51,east,yes,463543.0
2912,2,43,north,yes,408821.36
3831,3,17,north,yes,507998.22
1185,2,21,south,yes,196696.25
788,6,55,east,yes,213261.79
2641,5,46,south,yes,391560.35
1366,1,17,east,yes,226875.7
2799,4,65,south,no,365109.09
3868,3,73,east,yes,563129.05
1913,1,46,south,no,274871.66
2645,3,17,north,no,393641.82
3101,2,70,east,yes,440992.88
1267,4,17,south,yes,206374.09
3845,1,32,south,yes,506205.19
1449,1,64,south,yes,191057.62
3538,3,39,north,no,479893.51
3026,3,18,east,no,436916.82
1236,4,6,north,no,221415.2
3250,1,27,north,yes,440614.65
1427,4,50,south,no,216619.01
2818,4,53,south,yes,397651.01
4060,3,16,south,yes,534934.49
4038,5,11,south,yes,539584.88
3755,5,52,south,no,524296.13
2454,3,11,south,no,389258.58
2680,5,4,north,no,413213.57
1785,1,36,north,no,222278.14
3927,2,42,east,no,519028.49
2396,1,18,south,yes,338732.12
3412,3,15,north,yes,505556.08
1990,3,17,east,yes,318747.97
3304,1,25,south,yes,430834.01
1524,1,0,north,no,237558.78
3281,2,0,east,yes,508120.41
908,3,27,south,yes,161519.18
1111,1,1,south,yes,158629.34
1965,4,23,north,yes,326891.56
2413,4,43,south,no,352420.33
3204,4,2,east,no,485345.35
1988,4,46,south,no,287758.32
813,1,46,north,yes,131673.16
1872,1,43,east,yes,279512.09
2265,4,46,east,no,371625.66
2625,2,60,north,yes,362924.93
2971,1,5,south,yes,413004.63
1604,1,12,north,no,264270.07
2855,3,23,north,no,378542.84
2928,1,51,east,yes,405247.53
3429,2,65,south,yes,439064.8
2551,2,68,south,yes,320900.36
3546,2,43,south,no,461564.46
1514,1,30,north,yes,227878.81
3205,3,30,east,no,445324.41
908,1,4,north,yes,174447.89
1104,3,34,east,no,216258.1
3733,3,38,south,no,498158.28
2388,2,15,south,yes,346460.54
2891,1,57,east,yes,415998.64
2831,6,60,east,yes,450823.25
3147,3,22,south,yes,431117.99
1597,2,68,east,yes,245594.06
1365,1,8,north,yes,230309.09
896,2,68,east,yes,169771.75
3733,1,57,north,yes,509470.81
1521,5,16,north,no,286317.28
2734,5,48,north,yes,414043.1
2319,5,23,east,no,387494.4
1310,1,59,east,yes,218516.74
2178,3,12,east,no,328663.77
1037,1,18,east,yes,205314.9
1359,2,23,south,yes,215627.2
1231,3,14,south,yes,216708.22
3594,2,24,east,yes,525463.65
2707,1,45,north,no,366809.94
3943,1,47,south,yes,484575.23
2254,3,41,north,yes,318956.64
1444,4,14,north,yes,285027.42
2849,2,15,south,yes,407659.67
3957,1,68,east,yes,520732.12
2587,4,18,south,yes,377776.2
811,2,7,east,yes,195609.15
1797,6,34,east,no,323134.33
3941,1,0,north,yes,541746.3
2538,2,25,north,yes,409513.87
4034,3,64,north,yes,532747.62
2506,1,20,north,no,351434.77
791,2,52,south,yes,101341.42
3762,1,36,north,yes,484667.8
3382,1,26,east,yes,503874.67
3217,2,49,south,yes,426767.68
4097,1,44,south,yes,437761.94
1426,5,23,east,no,287440.42
3875,2,16,east,yes,588856.96
1552,1,68,south,no,154049.66
4098,4,12,south,no,574472.98
1410,3,71,south,yes,154164.8
2648,2,35,south,yes,376547.98
3473,2,74,south,yes,436578.32
1019,2,26,north,no,127822.52
980,1,42,east,no,184030.48
3681,2,46,north,yes,508553.12
958,2,25,east,no,197993.97
2867,2,16,south,no,391912.9
3986,4,39,east,no,552457.83
2870,2,49,east,yes,385074.98
2409,4,19,north,yes,382635.55
2189,2,57,south,yes,325557.57
2951,3,47,north,yes,430710.46
2722,2,12,north,no,342574.24
2481,3,70,north,no,301689.9
1279,1,3,north,yes,202334.58
3036,2,49,east,no,395494.44
3302,2,32,east,no,465191.42
3195,1,49,north,no,412811.48
1008,2,58,north,no,126439.44
3174,2,51,north,yes,439400.31
3267,1,48,east,yes,467565.87
1382,1,63,north,no,174649.14
3678,1,52,south,yes,460058.6
2557,3,61,north,yes,321509.58
2380,3,30,north,yes,345859.28
3243,1,15,east,yes,471206.93
2508,1,17,east,yes,386341.46
2629,3,45,north,yes,380241.78
1827,2,39,north,no,263102.35
3951,1,5,south,no,501059.81
4094,5,15,north,no,571443.51
1199,1,72,east,yes,218278.58
3279,1,54,east,yes,453323.03
830,3,56,north,no,147136.71
2023,2,14,east,yes,333482.92
4096,3,4,south,no,530206.34
1353,3,21,south,no,218745.83
2050,3,64,north,no,271225.93
1507,5,37,north,yes,270536.64
3262,3,58,north,no,427864.6
2350,2,36,east,no,344509.18
2796,3,36,south,no,365901.43
4001,2,45,north,yes,516971.82
2547,2,71,north,yes,311401.58
3282,3,32,south,yes,452128.11
1087,2,44,north,yes,186953.84
1492,3,68,east,yes,270590.06
4016,2,27,south,yes,515681.78
3715,2,62,north,yes,517646.91
3015,2,40,north,yes,405534.75
2054,5,65,north,yes,297820.03
1439,2,35,south,yes,199115.67
3688,3,47,north,yes,466133.4
3459,1,24,north,no,477469.3
1583,2,47,north,no,250433.21
2784,1,24,north,yes,395045.41
2884,1,45,east,yes,396982.4
2397,3,59,north,yes,371368.82
3947,3,32,east,yes,557375.06
1178,1,32,east,yes,213721.54
1639,1,24,south,yes,262992.66
1077,4,54,north,no,192666.39
3140,1,44,south,no,429459.86
2971,3,38,east,yes,449895.0
4156,2,1,north,yes,560141.45
2620,1,8,south,yes,350187.51
1269,3,0,south,yes,191096.07
2305,1,63,north,yes,302415.28
1054,3,63,south,no,172814.68
3064,1,5,east,yes,465931.02
3075,6,3,east,no,489855.54
3708,3,58,south,yes,464075.18
1922,1,39,east,yes,306799.71
1819,2,23,south,no,272312.65
995,2,46,north,yes,178642.95
2182,6,17,south,no,339837.23
2389,2,14,east,no,351676.76
3352,3,27,north,no,469705.27
3350,1,67,east,no,386285.71
1233,3,57,north,yes,209345.22
1733,3,14,north,yes,330079.8
2514,3,42,north,yes,334261.28
1905,1,66,east,yes,282325.35
838,2,71,north,no,125221.6
3667,1,57,north,no,448939.51
3272,2,9,south,yes,465470.74
2544,1,18,south,no,341536.12
